stop_name,X,Y,Rail,System,Mode,Line,Region,State,Station_ID,City
10th & Osage Station,-105.00565400000,39.73222200000,1,Denver RTD,LRT,"C, D, E, F, H, W",Denver,Colorado,0,Denver
10th & Osage Station,-105.00554900000,39.73166400000,1,Denver RTD,LRT,"C, D, E, F, H, W",Denver,Colorado,1,Denver
12th & Imperial Transit Center,-117.15313897600,32.70562302700,1,San Diego MTS,LRT,"Blue, Green, Orange",San Diego,California,2,San Diego
12th & Imperial Transit Center (Bayside),-117.15375561600,32.70520623300,1,San Diego MTS,LRT,"Blue, Green, Orange",San Diego,California,3,San Diego
12th St. Oakland City Center,-122.27160400000,37.80366400000,1,BART,HRT,"Orange, Red, Yellow",San Francisco,California,4,Oakland
12TH STREET/JEFFERSON LIGHT RAIL STATION,-112.05629700000,33.44723700000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,5,Phoenix
12TH STREET/WASHINGTON LIGHT RAIL STN,-112.05659600000,33.44822100000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,6,Phoenix
15th Ave & Taraval St,-122.47140500000,37.74306900000,1,Muni,LRT,L - Taraval,San Francisco,California,7,San Francisco
15th Ave & Taraval St,-122.47129700000,37.74312400000,1,Muni,LRT,L - Taraval,San Francisco,California,8,San Francisco
15th Ave & Ulloa St,-122.47130000000,37.74148400000,1,Muni,LRT,L - Taraval,San Francisco,California,9,San Francisco
15th Ave & Ulloa St,-122.47119200000,37.74152500000,1,Muni,LRT,L - Taraval,San Francisco,California,10,San Francisco
16th & California Station,-104.99233700000,39.74494900000,1,Denver RTD,LRT,"D, F, H",Denver,Colorado,11,Denver
16th & Stout Station,-104.99291300000,39.74606500000,1,Denver RTD,LRT,"D, F, H",Denver,Colorado,12,Denver
16th St. Mission,-122.41969400000,37.76506200000,1,BART,HRT,"Blue, Green, Red, Yellow",San Francisco,California,13,San Francisco
17th St & Castro St,-122.43486600000,37.76252000000,1,F-Market,Streetcar,F - Market & Wharves,San Francisco,California,14,San Francisco
17th St & Noe St,-122.43299100000,37.76264500000,1,F-Market,Streetcar,F - Market & Wharves,San Francisco,California,15,San Francisco
18th & California Station,-104.98994500000,39.74681300000,1,Denver RTD,LRT,"D, F, H",Denver,Colorado,16,Denver
18th & Stout Station,-104.99043900000,39.74802700000,1,Denver RTD,LRT,"D, F, H",Denver,Colorado,17,Denver
19th Ave & Holloway Ave,-122.47523300000,37.72107400000,1,Muni,LRT,M - Ocean View,San Francisco,California,18,San Francisco
19th Ave & Holloway Ave,-122.47509600000,37.72124400000,1,Muni,LRT,M - Ocean View,San Francisco,California,19,San Francisco
19th Ave & Junipero Serra Blvd,-122.47227500000,37.71688900000,1,Muni,LRT,M - Ocean View,San Francisco,California,20,San Francisco
19th Ave & Randolph St,-122.47167000000,37.71620000000,1,Muni,LRT,M - Ocean View,San Francisco,California,21,San Francisco
19th Ave & Randolph St,-122.46999800000,37.71444300000,1,Muni,LRT,M - Ocean View,San Francisco,California,22,San Francisco
19th Ave & Randolph St,-122.46961800000,37.71428200000,1,Muni,LRT,M - Ocean View,San Francisco,California,23,San Francisco
19th Ave & Winston Dr,-122.47493700000,37.72701700000,1,Muni,LRT,M - Ocean View,San Francisco,California,24,San Francisco
19th Ave & Winston Dr,-122.47484600000,37.72719500000,1,Muni,LRT,M - Ocean View,San Francisco,California,25,San Francisco
19TH AVE/CAMELBACK RD LIGHT RAIL STATION,-112.09936100000,33.50950500000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,26,Phoenix
19TH AVE/CAMELBACK RD LIGHT RAIL STATION,-112.09814800000,33.50955400000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,27,Phoenix
19th St. Oakland,-122.26902900000,37.80787000000,1,BART,HRT,"Orange, Red, Yellow",San Francisco,California,28,Oakland
20th & Welton Station,-104.98675600000,39.74810000000,1,Denver RTD,LRT,D,Denver,Colorado,29,Denver
20th & Welton Station,-104.98655900000,39.74804300000,1,Denver RTD,LRT,D,Denver,Colorado,30,Denver
22nd St Caltrain,-122.39240400000,37.75758300000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,31,San Francisco
22nd St Caltrain,-122.39188000000,37.75759900000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,32,San Francisco
24th St. Mission,-122.41846600000,37.75225400000,1,BART,HRT,"Blue, Green, Red, Yellow",San Francisco,California,33,San Francisco
24th Street Station,-117.10808671000,32.66200447900,1,San Diego MTS,LRT,Blue,San Diego,California,34,National City
24th Street Station,-117.10808340800,32.66199900500,1,San Diego MTS,LRT,Blue,San Diego,California,35,National City
24TH STREET/JEFFERSON LIGHT RAIL STATION,-112.02999400000,33.44722100000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,36,Phoenix
24TH STREET/WASHINGTON LIGHT RAIL STN,-112.02863100000,33.44823800000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,37,Phoenix
25th & Welton Station,-104.98003900000,39.75339700000,1,Denver RTD,LRT,D,Denver,Colorado,38,Denver
25th & Welton Station,-104.97995700000,39.75320900000,1,Denver RTD,LRT,D,Denver,Colorado,39,Denver
